system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
00000000000000000019_0,-19.590051158958776,390.87571229732214,0.7117826915313052,-13.758606834853245,-33.34865799381201,270.7883766612984,190.20794092476214,1.4245378097117796,38.263348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.96329213995077,14.804011303468684]}"
0000000000000000001b_0,-18.56138813145816,351.3549767394595,0.5020760514344136,-9.090405941840144,-27.651794073298305,167.91239214653277,82.73348927586444,2.0542029155227604,44.134354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14699304127136,16.26027021055484]}"
0000000000000000001c_0,-19.1785748794298,371.96034435195156,0.701418902922861,-13.316967841354911,-32.49554272078471,255.7123230058117,177.36510934688386,1.4385927144055395,44.134354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.13953702441317,16.283536576413535]}"
0000000000000000001d_0,-17.56352248529167,308.65825492509646,0.5638545665540388,-9.904018448385727,-27.4675409336774,174.07080454555904,98.49695751827643,1.7794827188026276,39.160614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3306178339091,12.311366053093835]}"
0000000000000000001e_0,-14.034823701460084,198.85714603787588,0.5675808750400902,-7.989569265370928,-22.024392966831012,113.51819057554845,64.99282290430885,1.7670986306324326,36.85147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7349495432913,12.984563527013005]}"
0000000000000000001f_0,-14.618641841522594,214.13013581378408,0.5519611422444832,-8.026831490309432,-22.645473331832022,116.96357361025505,64.84691607160143,1.8394932687856629,39.204296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19245694321151,12.17994252702715]}"
00000000000000000020_0,-25.857876918334888,675.8857756074492,0.5727183027487774,-14.665972525551094,-40.523849443885986,379.5845579602692,216.15311043411592,1.7700992354646121,39.12289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3309725857409,14.232682782768668]}"
00000000000000000021_0,-23.279824523832104,556.9119309907793,0.6384516623153649,-14.467598812791326,-37.74742333662342,335.1505586639989,210.4314422074325,1.6254940705689414,37.63718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03372005822574,13.606736692794186]}"
00000000000000000022_0,-14.974564123703725,226.14565435049838,0.48073392425245465,-7.131830160990503,-22.106394284694233,106.76787237082286,51.33075768261093,2.120467137092661,39.911102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16586681080157,12.194764729215123]}"
00000000000000000023_0,-22.353373239906972,499.67329520258914,0.5082653806793521,-11.361445759248959,-33.71481899915593,253.96663760145023,129.08244974035614,1.9674761217523629,38.371883,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.41361759187988,17.37301335299369]}"
00000000000000000024_0,-13.368900680854875,179.19934059088268,0.6897463146016964,-9.190717752172029,-22.5596184330269,122.76792267642435,86.64664900738059,1.4893174689934556,39.160614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30860910944817,12.332027304628586]}"
00000000000000000025_0,-20.495258984490814,425.92052724161795,0.5701296856541598,-11.563271789977977,-32.0585307744688,237.54673728443373,134.09141352554627,1.7736385946049331,44.154316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48548281460945,12.388441504471292]}"
00000000000000000027_0,-16.236912806784982,263.96423639368254,0.47106361989714585,-7.649164045843682,-23.886076852628662,124.36165095230041,58.590828302127456,2.122864204138078,44.134354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.16037793900475,16.27131948854951]}"
